Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яремко,Орина,Олексіївна,Жінка,1970-08-23,Програміст,місто Гірник ,"провулок Дев’ята, буд. 516 кв. 597, Корюківка, 59058",061 798 44 82,nestorchmil@example.net
Михайлюк,Олег,Леонідович,Чоловік,1977-02-18,Швачка,хутір Бахмут,"парк Осіння, буд. 64, Дергачі, 76271",+380 71 206-77-87,khorishkoleontii@example.net
Ващук,Оксенія,Михайлівна,Жінка,1957-09-07,Скульптор,місто Рожище,"шосе Глиняна, буд. 2 кв. 994, Люботин, 03755",+380 (09) 785-93-23,azhaivoron@example.net
Охріменко,Ада,Богданівна,Жінка,1987-08-29,Публіцист,місто Ладижин,"сквер Львівський, буд. 55, Вільнянськ, 88660",002 926 16 01,valeriikhomenko@example.net
Єщенко,Панас,Михайлович,Чоловік,1997-07-21,Фотограф,місто Бібрка,"сквер Лінія 52-га, буд. 633, Знам'янка, 13064",839-26-14,fishchak@example.net
Дейнеко,Сніжана,Василівна,Жінка,1958-06-30,Мінералог,хутір Первомайськ,"проспект Степова, буд. 03, Брянка, 52841",065 716 00 26,anastasiia57@example.com
Андрієнко,Марина,Євгенівна,Жінка,1984-07-16,Географ,село Олександрівськ,"площа Серединський, буд. 11 кв. 04, Карлівка, 26225",313 17 69,adam66@example.net
Їжак,Венедикт,Петрович,Чоловік,1953-09-17,Археолог,село Сватове,"вулиця Змієнка Всеволода, буд. 2, Лисичанськ, 05621",423 35 18,oleksa70@example.com
Жаліло,Ада,Іванівна,Жінка,1942-03-26,Доцент,село Горлівка,"сквер Олексіївська, буд. 6 кв. 29, Хорол , 32778",113-21-01,zlatoslava63@example.org
Гайдай,Опанас,Андрійович,Чоловік,1996-12-28,Няня,хутір Харків,"парк Деревообробна, буд. 2 кв. 859, Виноградів, 35159",+380 57 185-66-69,rdemianchuk@example.com
Тригуб,Галина,Сергіївна,Жінка,1941-02-01,Пекар,місто Сорокине,"шосе Олександра Стурдзи, буд. 3, Хоростків, 98451",048 065 08 01,varvarademianchuk@example.net
Доценко,Ярема,Іванович,Чоловік,1996-02-24,Піаніст,місто Білицьке,"парк Весела, буд. 6, Болехів, 95155",+380 85 000-15-09,leopold97@example.com
Товстоліс,Мілена,Василівна,Жінка,1945-03-28,Композитор,село Федорівка,"сквер Тульська, буд. 3 кв. 3, Бобринець, 96083",044 457 46 66,orak@example.net
Колодуб,Надія,Дмитрівна,Жінка,1988-06-14,Ді-джей,селище Енергодар,"площа Лінія 39-та, буд. 55, Хуст, 17000",793 93 52,ieva64@example.net
Аронець,Оксана,Іванівна,Жінка,1953-03-02,Астрофізик,село Бережани,"парк Сергія Ядова, буд. 65, Конотоп, 18109",431 86 19,albina79@example.net
Ґалаґан,Борис,Васильович,Чоловік,1962-04-18,Правник,місто Охтирка,"провулок Хаджибейський 1-й, буд. 49, Заставна, 46482",753 97 84,zatulasemen@example.net
Дейнека,Ярослава,Володимирівна,Жінка,1986-11-11,Композитор,хутір Хрустальний,"узвіз Український 1-й, буд. 914 кв. 9, Новояворівськ, 58971",005 873-95-59,hennadii52@example.com
Левченко,Анжела,Іванівна,Жінка,1943-05-19,Музикант,селище Рогатин,"вулиця Кладовищний, буд. 792 кв. 61, Інкерман, 64836",034 930 07 48,terezakylymnyk@example.net
Масляк,Левко,Андрійович,Чоловік,1939-05-14,Художник,село Подільськ,"площа Азербайджан, буд. 278 кв. 4, Щолкіне, 42066",+380 18 172-78-85,tivashchenko@example.net
Євдокименко,Веніямин,Іванович,Чоловік,1946-02-27,Фотограф,місто Павлоград,"набережна Просвіти, буд. 8, Ірпінь, 17410",+380 (83) 087-07-79,cpanchuk@example.org
Вергун,Амвросій,Сергійович,Чоловік,1951-02-07,Каскадер,селище Боково-Хрустальне,"провулок 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 688, Рахів, 40527",037 169 47 49,mkolisnychenko@example.com
Демиденко,Михайло,Сергійович,Чоловік,2003-12-20,Бібліотекар,село Долина ,"проспект Лузанівський, буд. 312 кв. 49, Гадяч, 83544",+380 11 705-31-61,ldanylenko@example.com
Шморгун,Валентина,Сергіївна,Жінка,1979-03-18,Кушнір,селище Сулимівка (Слов'янськ),"узвіз Олександра Блока, буд. 5 кв. 5, Ладижин, 20622",+380 85 609 65 41,glutsenko@example.com
Цюпа,Яків,Васильович,Чоловік,2008-01-14,Бібліотекар,село Володимир-Волинський,"узвіз Майстерний, буд. 967, Мар'їнка, 75258",918 54 36,ykashchenko@example.net
Лесик,Остап,Васильович,Чоловік,1972-07-17,Паблік рилейшнз,селище Горішні Плавні,"площа Шовкуненка, буд. 619, Донецьк, 81410",+380 45 137-34-67,niakymchuk@example.net
Аврамчук,Демид,Андрійович,Чоловік,1939-02-12,Єгер,хутір Василівка ,"набережна Ламаний, буд. 5, Первомайськ, 37198",008 029-11-99,vhaidai@example.net
Авраменко,Андрій,Васильович,Чоловік,1972-12-18,Режисер,село Кременчук,"провулок Асташкіна, буд. 60, Мирноград, 87357",+380 72 576-59-32,emiliiasymonenko@example.net
Артим,Венедикт,Євгенович,Чоловік,1972-05-20,Патологоанатом,хутір Керч,"парк Шишкіна, буд. 05, Вознесенівка, 92429",325-69-92,lderkach@example.com
Рубан,Роксолана,Михайлівна,Жінка,2004-02-21,Секретар,селище Географія Вільнянська,"провулок Вершинна, буд. 56, Родинське, 13149",+380 (17) 250-11-92,iosypdeineko@example.org
Артеменко,Тимофій,Володимирович,Чоловік,1971-06-10,Фармацевт,селище Біляївка,"набережна Селекційна, буд. 526 кв. 2, Чернігів, 06264",032 596-44-45,lukianonyshchenko@example.org
Михайличенко,Олег,Дмитрович,Чоловік,2008-04-22,Композитор,селище Красногорівка,"узвіз Шкільний, буд. 3, Горішні Плавні, 61643",+380 60 951-22-35,orest55@example.org
Алексеєнко,Златослава,Андріївна,Жінка,1939-07-17,Музичний редактор,село Гайворон,"шосе Бузковий 2-й, буд. 348, Чоп, 31467",+380 58 875-51-85,danylotkachenko@example.net
Вдовиченко,Охрім,Андрійович,Чоловік,1957-01-24,Професор,місто Баранівка,"сквер Березова, буд. 4 кв. 806, Овруч, 40951",+380 71 944-82-48,skorykkyrylo@example.com
Фесенко,Борислав,Богданович,Чоловік,2003-05-05,Штукатур,село Українка ,"парк Катерининська, буд. 9 кв. 72, Болехів, 51681",+380 25 534-39-66,artemenkoamvrosii@example.org
Притула,Ярина,Іванівна,Жінка,1948-12-11,Біолог,село Горішні Плавні,"вулиця Пересипська 2-га, буд. 552, Попасна, 93575",079 078-87-57,fzaruba@example.com
Шеремета,Соломія,Юріївна,Жінка,1945-11-17,Електрик,хутір Сіверськ,"шосе Сьома, буд. 157 кв. 767, Лиман , 26379",689-31-96,edemianenko@example.net
Бабій,Тереза,Андріївна,Жінка,1980-04-21,Психолог,село Івано-Франківськ,"узвіз Орловський, буд. 8 кв. 441, Ходорів, 76594",+380 45 877-55-24,volodymyra69@example.org
Масляк,Пармен,Петрович,Чоловік,1982-09-16,Детектив,місто Хорол ,"парк Академіка Богатського, буд. 29, Чугуїв, 63639",839-71-07,vakhniimariana@example.net
Бакуменко,Герман,Олегович,Чоловік,1996-12-08,Фермер,місто Арциз,"шосе Псковська, буд. 56, Бобровиця, 74435",+380 75 293-12-78,davyd38@example.com
Шаповал,Семен,Юрійович,Чоловік,1970-08-27,Мистецтвознавець,хутір Трускавець,"шосе Тарутинська, буд. 96 кв. 7, Петрово-Красносілля, 71919",+380 78 323 10 45,batihorysia@example.com
Вдовиченко,Клавдія,Євгенівна,Жінка,1984-09-22,Пілот,село Луганськ,"провулок Донецька, буд. 6, Дубровиця, 32030",+380 65 136-88-89,artem37@example.net
